id,name,contact,phone,address,isActive
28,15600/16000 SM,,,,true
420,17000 elyon,,,,true
315,18952ngk,,,,true
391,205200/289000M60,,,,true
46,23 7,,,,true
90,24000SP,,,,true
187,24 5,,,,true
72,24 5 1,,,,true
203,27.5  2,,,,true
444,6615 SN,,,,true
513,80920 20,,,,true
284,AHM,,,,true
546,AI,,,,true
291,AJMP,,,,true
579,ASPIRA,,,,true
576,ASTRA MOTOR,,,,true
3,Astra otopart,,,,true
103,ASTRA OTOPART,,,,true
443,BERLIAN JAYA,,,,true
94,ELYON MOTOR,,,,true
14,FUBORU,,,,true
232,GALAKSI,,,,true
371,GALAKSY,,,,true
222,GALAXY,,,,true
587,GNT,,,,true
285,GTH,,,,true
231,GTT,,,,true
511,harpindo,,,,true
21,Harpindo,,,,true
20,HARPINDO,,,,true
264,INDOPART,,,,true
171,INDOPARTS,,,,true
260,INTI PRIMA,,,,true
559,INTI PRIMA MOTOR,,,,true
451,JATENG TOP,,,,true
184,JERIKO MOTOR,,,,true
121,JJS,,,,true
345,JOGJA SATU HATI,,,,true
374,KAWA,,,,true
557,KAWASAKI,,,,true
122,Kenny motor,,,,true
218,LAUTAN JAYA,,,,true
507,MA,,,,true
562,Mataram,,,,true
113,MATARAM,,,,true
205,MATARAM MITRA SENTOSA,,,,true
565,MEDIA VARIASI MOTOR,,,,true
275,MEGA PRIMA,,,,true
313,MORODADI,,,,true
417,MPH,,,,true
516,MTH,,,,true
360,NATRACO,,,,true
290,NC,,,,true
359,NIAGA JAYA,,,,true
268,NJ,,,,true
151,NPP,,,,true
482,NTC,,,,true
83,NUSANTARA SAKTI,,,,true
390,OSRAM,,,,true
308,P13 50,,,,true
251,P 13 50.25,,,,true
101,PT ASTRA,,,,true
532,pt astra otopart,,,,true
298,PT ASTRA OTOPART,,,,true
124,pt astra otoparts,,,,true
204,RKM PART,,,,true
472,SA,,,,true
479,SH,,,,true
237,SINAR,,,,true
582,Sinar gemala,,,,true
335,SINAR GEMALA,,,,true
66,SINAR GEMALA SAKTI,,,,true
577,sinar motor,,,,true
216,SINAR MOTOR,,,,true
125,SJA,,,,true
342,Soni,,,,true
586,SPC,,,,true
100,SRIWIJAYA,,,,true
357,SUKSES JAYA,,,,true
156,Surya Persada,,,,true
456,SURYA PERSADA,,,,true
219,SUZUKI,,,,true
525,TDR,,,,true
489,TM,,,,true
477,TOYAMA,,,,true
328,TU,,,,true
460,WD,,,,true
537,WMS,,,,true
61,YAMAHA,,,,true
